consignee,town,address,phone,secondary_phone,email,website,cf_connect,,,
Carbogaz Sa,Port-au-Prince,Haiti,+509 29 40 9100,n/a,Alexander.vonlignau@gmail.com,n/a,1,,3,n/a
Coprofer Kenbe,Tabarre,"Route Nationale # 1, Cazeau, à côte Maison Duval",+509 37 32 1281,n/a,coproferkenbecooperative@yahoo.fr,n/a,0,,3,n/a
Les Entreprises Maritimes Et Commerciales Lionel S. D Adesky S.A. (Enmarcolda S.A.),Port-au-Prince,"3, Bas Autoroute de Delmas (après Carrefour Aviation)",+509 28 12 3434,+509 28 13 3434,enmarcolda@dadesky.com,www.enmarcolda.com,0,,15,n/a
Cafe Selecto (Geo Wiener),Delmas,"8, Delmas 1 A (en face Delmas 10)",+509 28 13 7606,+509 37 21 6195,info@selectohaiti.com,www.selectohaiti.com,0,,15,n/a
Haiti Terminal,Port-au-Prince,Blvd. La Saline,+509 29 42 9507,+509 29 43 9507,service@haititerminal.com,n/a,0,,15,n/a
Hospital & Medical Supplies S.A.,Port-au-Prince,"26, Rue Bois-Patate, Canape-Vert",+509 28 13 1358,+509 28 11 8989,customerrelations@hms.ht,www.hms.ht,0,,15,n/a
International Purchasing Group   Ipg,Petion-Ville,"61, Rue Metellus",+509 37 01 6440,+509 29 99 1313,jeffreyipg@gmail.com,n/a,0,,15,n/a
Jm Construction,Cap-Haïtien,"Vaudreuil, Route Nationale #1",+509 37 91 8811,n/a,n/a,n/a,0,,3,n/a
Les Entreprises Guerrier,Tabarre,"29, au dos de l'eglise catholique, Butte-Boyer, Croix-des-Missions",+509 36 46 7073,+509 39 08 9150,lesentreprisesguerrier@gmail.com,n/a,0,,15,n/a
Mapa Auto Parts,Delmas,"Angle Autoroute de Delmas et Delmas 60, local Tirezone",+509 28 18 8888,n/a,mapa-auto-parts@hotmail.com,n/a,0,,3,n/a
Ministère De L Economie Et Des Finances (Mef),Hinche,Rue Capois La Mort,+509 22 10 0872,n/a,n/a,n/a,0,,3,n/a
Okay Oto Parts S.A.,Tabarre,"12, Tabarre 37, Blvd 15 Octobre",+509 22 26 9393,+509 22 26 9394,info@okayoto.com,www.okayoto.com,0,,15,n/a
Omnitek Engineering,Delmas,"7, Rue Dr Lanier, Delmas 31",+509 34 48 0990,+509 22 28 6010,kvertil@omnitek-engineering.com,n/a,0,,15,n/a
Prestige Ship Services S.A,Cap-Haïtien,"101, Rue 15 A",+509 22 60 4957,+509 44 16 1207,prestigeships@aol.com,www.prestigeshipservices.com,0,,15,n/a
Rectorat De L'Universite D Etat D Haïti (Ueh),Port-au-Prince,"21, Rue Rivière",+509 22 44 0159,+509 22 44 0151,recteur@ueh.edu.ht,www.ueh.edu.ht,0,,15,n/a
Sunrise Airways,Tabarre,Aerogare Guy Malary,+509 28 16 0616,+509 28 16 0615,info@sunriseairways.net,www.sunriseairways.net,0,,15,n/a
Unicef,Port-au-Prince,"17, Rue Armand Holly, Debussy",+509 28 12 3011,+509 28 12 3005,n/a,www.unicef.org/haiti/french,0,,15,n/a
